name,latitude,longitude,timezone,description
Berlin,52.5200,13.4050,Europe/Berlin,Central European hub of memory and movement
Buenos Aires,-34.6037,-58.3816,America/Argentina/Buenos_Aires,South American cultural and political node
Seoul,37.5665,126.9780,Asia/Seoul,Northeast Asian innovation and signal center
Los Angeles,34.0522,-118.2437,America/Los_Angeles,West Coast media and imagination driver
Istanbul,41.0082,28.9784,Europe/Istanbul,Bridge of continents and consciousness
Jakarta,-6.2088,106.8456,Asia/Jakarta,Indonesian nexus of population and pulse
Mexico City,19.4326,-99.1332,America/Mexico_City,Signal point in the heart of Mesoamerica
Nairobi,-1.2921,36.8219,Africa/Nairobi,East African node of tech and activism
Paris,48.8566,2.3522,Europe/Paris,Historical and artistic frequency anchor
Bangkok,13.7563,100.5018,Asia/Bangkok,Southeast Asiaâ€™s spiritual and urban crossroads

